Car Make,Car Model,Year,Battery_Type,Price_USD,Country
Genesis,GV60,2023,Lithium-titanate,43626.92,Israel
Toyota,Lexus UX 300e,2025,Nickel-cobalt-aluminum,88347.23,Canada
BYD,Seagull,2016,Lithium-iron phosphate,137753.5,China
Lotus,Evija,2015,Lithium-sulfur,80415.6,Germany
Jeep,Wagoneer S,2025,Flow batteries,98070.2,Poland
Fisker,Pear (upcoming),2022,Nickel-metal hydride,51043.12,Sweden
BYD,Tang EV,2018,Lead-acid,47753.31,Saudi Arabia
Changan,Deepal S07,2017,Lithium-ion,65466.82,Singapore
Great Wall Motors,ORA Good Cat,2017,Flow batteries,130905.23,Brazil
VinFast,VF 8,2018,Lithium-ion,144914.84,Thailand
Ford,Explorer EV (Europe),2020,Nickel-cobalt-aluminum,147302.84,UK
Faraday Future,FF 91,2021,Nickel-metal hydride,66387.74,Mexico
Acura,ZDX (with GM Ultium),2021,Nickel-metal hydride,129874.05,UAE
Nissan,Leaf,2017,Lithium-sulfur,109909.62,Indonesia
Audi,A6 e-tron (upcoming),2020,Zinc-air,87124.89,Canada
Ford,E-Transit,2022,Aluminum-ion,73339.61,Brazil
Opel,Grandland Electric,2017,Magnesium-ion,134693.18,Poland
Canoo,Lifestyle Vehicle,2015,Nickel-metal hydride,140508.89,France
Dacia,Jogger Hybrid,2021,Nickel-manganese-cobalt,87542.19,Argentina
Dacia,Bigster EV (upcoming),2015,Lithium-titanate,47083.12,Poland
Nissan,Ariya,2021,Lithium-ion,139023.52,China
Lucid Motors,Lucid Air,2025,Sodium-ion,71740.39,Turkey
Lotus,Eletre,2018,Lithium-sulfur,41842.29,Turkey
Fisker,Pear (upcoming),2021,Lithium-iron phosphate,67713.63,Canada
Rimac,Nevera,2016,Nickel-cobalt-aluminum,130930.82,UAE
BYD,Tang EV,2015,Flow batteries,109025.79,Canada
BYD,Tang EV,2020,Lithium-iron phosphate,80964.5,Portugal
Great Wall Motors,ORA Ballet Cat,2024,Nickel-cobalt-aluminum,84556.17,Spain
Mahindra,XUV400,2017,Nickel-cobalt-aluminum,104787.91,China
Mahindra,Born Electric (upcoming range),2023,Lithium-sulfur,33791.82,Canada
Lamborghini,Lanzador (upcoming EV),2017,Nickel-manganese-cobalt,43125.84,Russia
BMW,i7,2019,Nickel-manganese-cobalt,64132.5,Germany
Citroen,Ami,2020,Nickel-cobalt-aluminum,36773.91,Belgium
Pininfarina,Battista,2015,Lead-acid,138169.18,Germany
Ferrari,SF90 Stradale (PHEV),2022,Solid-state,127374.86,Mexico
Rivian,R1S,2019,Lithium-ion,104948.67,Israel
Zeekr,Zeekr X,2020,Magnesium-ion,65989.08,Saudi Arabia
Nissan,Leaf,2024,Nickel-manganese-cobalt,106551.16,Finland
BYD,Dolphin,2017,Lithium-iron phosphate,79231.23,China
Cadillac,Lyriq,2021,Lithium-iron phosphate,129267.46,Russia
Volkswagen,ID.3,2019,Magnesium-ion,35067.88,Russia
Audi,Q8 e-tron,2020,Flow batteries,116908.13,Belgium
Honda,Honda Prologue,2016,Lithium-iron phosphate,100119.15,Belgium
Honda,Honda e (discontinued),2015,Nickel-manganese-cobalt,80853.76,Belgium
Cadillac,Lyriq,2025,Magnesium-ion,76162.83,Argentina
XPeng,G9,2019,Solid-state,133130.01,Malaysia
Great Wall Motors,ORA Ballet Cat,2021,Aluminum-ion,128428.96,Netherlands
Rimac,Nevera,2015,Magnesium-ion,124922.32,USA
Lotus,Evija,2025,Magnesium-ion,68327.9,Italy
Li Auto,L9,2017,Nickel-cobalt-aluminum,32756.41,Finland
XPeng,X9,2021,Zinc-air,98069.15,South Africa
Canoo,Pickup,2019,Lithium-titanate,102009.93,Czech Republic
Honda,e:Ny1,2024,Nickel-manganese-cobalt,86265.79,Thailand
Kia,Soul EV,2015,Sodium-ion,142718.63,Ireland
Mini,Mini Cooper SE,2017,Aluminum-ion,90449.61,Australia
Rimac,Nevera,2017,Nickel-manganese-cobalt,141148.45,Spain
Mahindra,XUV400,2023,Calcium-ion,47834.5,Norway
Chevrolet,Silverado EV,2020,Lithium-titanate,116371.68,Canada
Ferrari,Ferrari EV (2025+),2024,Lithium-iron phosphate,98494.54,China
Skoda,Enyaq,2021,Sodium-ion,48453.06,Australia
Tesla,Model X,2015,Flow batteries,149978.53,Singapore
Peugeot,e-208,2023,Zinc-air,145805.92,UK
Citroen,Ami,2017,Solid-state,140603.98,Ireland
Geely,Geometry C,2022,Lithium-sulfur,127319.32,Norway
Skoda,Elroq (upcoming),2017,Aluminum-ion,82482.66,New Zealand
Mazda,MX-30,2023,Solid-state,79562.33,Singapore
Jaguar,I-PACE,2017,Magnesium-ion,135210.64,Hungary
Rivian,R1T,2016,Lithium-titanate,32149.83,Canada
Mahindra,Born Electric (upcoming range),2024,Calcium-ion,40516.22,USA
Genesis,GV70 Electric,2025,Lithium-iron phosphate,122366.54,New Zealand
Great Wall Motors,ORA Good Cat,2022,Zinc-air,30944.91,Vietnam
Mahindra,Born Electric (upcoming range),2022,Lead-acid,37284.56,Vietnam
Mahindra,Born Electric (upcoming range),2022,Lithium-titanate,86308.85,Austria
Mazda,Mazda EV (upcoming models),2021,Calcium-ion,125970.61,Netherlands
Porsche,Macan EV,2017,Zinc-air,89247.01,Switzerland
Canoo,MPDV,2015,Magnesium-ion,44482.56,Russia
Seat,Avenger,2015,Aluminum-ion,120691.72,Finland
Acura,ZDX (with GM Ultium),2018,Aluminum-ion,121435.76,France
Opel,Corsa-e,2018,Calcium-ion,40228.06,Indonesia
Volkswagen,ID.2all,2021,Nickel-cobalt-aluminum,91938.64,Argentina
Hyundai,Ioniq 6,2020,Nickel-cobalt-aluminum,121103.09,Sweden
Li Auto,MEGA,2025,Lithium-titanate,30948.27,South Africa
VinFast,VFe34 (discontinued),2025,Nickel-manganese-cobalt,135716.96,Japan
Mazda,MX-30,2016,Lead-acid,49203.28,Saudi Arabia
Renault,Megane E-Tech,2020,Lithium-sulfur,108115.49,Malaysia
Dacia,Jogger Hybrid,2020,Lithium-sulfur,92360,France
Dacia,Bigster EV (upcoming),2021,Solid-state,83539.69,South Africa
Acura,ZDX (with GM Ultium),2022,Lithium-titanate,47321.54,Russia
Rivian,R1S,2022,Lithium-ion,44251.93,Indonesia
BYD,Seal,2020,Lithium-sulfur,100754.91,Poland
Fisker,Ocean,2015,Nickel-cobalt-aluminum,123761.92,Ireland
Renault,Scenic E-Tech,2016,Magnesium-ion,138029.33,Saudi Arabia
Dacia,Jogger Hybrid,2024,Flow batteries,44853.79,UK
Citroen,?-Spacetourer,2023,Aluminum-ion,62995.5,Belgium
Jeep,Wrangler 4xe (PHEV),2022,Calcium-ion,32886.83,Hungary
Ford,F-150 Lightning,2019,Magnesium-ion,37069.65,Norway
Rimac,Nevera,2021,Calcium-ion,101640.55,Russia
Lamborghini,Lanzador (upcoming EV),2016,Nickel-manganese-cobalt,32234.74,Israel
Li Auto,MEGA,2016,Calcium-ion,148237.05,Belgium
GMC,Hummer EV SUV,2025,Nickel-metal hydride,60106.67,India
Peugeot,e-208,2019,Solid-state,149858.55,Switzerland
Geely,Geometry C,2018,Flow batteries,101941.64,Italy
Porsche,Cayenne Electric (upcoming),2023,Aluminum-ion,124476.63,China
NIO,ET9,2015,Solid-state,56582.49,Portugal
Volvo,C40 Recharge,2022,Sodium-ion,148111.62,Thailand
Mini,Mini Aceman,2024,Flow batteries,45389.57,Italy
Skoda,Enyaq,2025,Lead-acid,81253.74,South Korea
Lotus,Emeya,2022,Sodium-ion,140206.98,Malaysia
Peugeot,e-2008,2021,Solid-state,37541.29,France
Polestar,Polestar 2,2022,Lithium-iron phosphate,92361.01,China
Jaguar,I-PACE,2015,Aluminum-ion,37440.27,Malaysia
BMW,i4,2021,Nickel-cobalt-aluminum,101949.1,Finland
Genesis,GV60,2022,Lead-acid,101421.01,Israel
Li Auto,MEGA,2024,Nickel-manganese-cobalt,67400.02,Turkey
Subaru,Solterra,2019,Sodium-ion,90852.94,UAE
Pininfarina,Battista,2025,Nickel-manganese-cobalt,97931.63,Finland
Tesla,Roadster (upcoming),2018,Lithium-titanate,118150.34,Mexico
Audi,Q4 e-tron,2015,Lead-acid,100282.37,Argentina
Renault,5 E-Tech,2020,Calcium-ion,131145.77,Germany
Subaru,Solterra,2018,Sodium-ion,147252.22,Vietnam
Maserati,GranTurismo Folgore,2020,Sodium-ion,121569.88,Denmark
MG,MG ES5,2018,Lithium-titanate,76573.9,Turkey
Great Wall Motors,ORA Ballet Cat,2022,Nickel-manganese-cobalt,137386.16,Belgium
Lamborghini,Revuelto (PHEV),2017,Magnesium-ion,34937.15,Finland
NIO,ET5,2017,Nickel-manganese-cobalt,39890.22,Turkey
Audi,Q4 e-tron,2015,Lead-acid,119425.36,Portugal
Tesla,Model X,2019,Calcium-ion,120936.73,New Zealand
Volvo,EX90,2022,Sodium-ion,143031.57,Switzerland
Tesla,Model Y,2025,Calcium-ion,120315.14,Saudi Arabia
Ferrari,Ferrari EV (2025+),2024,Aluminum-ion,54504.55,China
Mercedes-Benz,EQS,2025,Lead-acid,53879.85,Czech Republic
Lotus,Eletre,2017,Sodium-ion,43289.27,Indonesia
Subaru,Solterra,2025,Nickel-manganese-cobalt,90297,Australia
Lotus,Emeya,2024,Aluminum-ion,64549.41,Brazil
Porsche,Cayenne Electric (upcoming),2022,Nickel-cobalt-aluminum,143482.48,Netherlands
Li Auto,L7,2020,Solid-state,49780.69,Turkey
Pininfarina,Battista,2018,Nickel-cobalt-aluminum,46377.67,Australia
Great Wall Motors,ORA Lightning Cat,2017,Nickel-metal hydride,44898.17,Thailand
Porsche,Macan EV,2015,Aluminum-ion,130380.14,South Africa
BMW,iX1,2015,Lithium-ion,74957.36,Denmark
Mini,Mini Electric,2018,Aluminum-ion,35281.5,France
Zeekr,Zeekr 001,2018,Lithium-iron phosphate,108479.13,India
Audi,e-tron GT,2021,Lithium-sulfur,124951.17,Singapore
Opel,Grandland Electric,2017,Sodium-ion,109964.47,Mexico
Jeep,Wrangler 4xe (PHEV),2018,Lithium-ion,118549.59,Belgium
Rivian,EDV (Electric Delivery Van),2015,Lithium-iron phosphate,69442.78,Hungary
Volvo,EX30,2020,Lithium-iron phosphate,113553.37,Ireland
Audi,e-tron GT,2015,Flow batteries,50841.1,Switzerland
Zeekr,Zeekr X,2024,Lithium-iron phosphate,54168.12,New Zealand
Zeekr,Zeekr 007,2017,Calcium-ion,81287.67,Poland
Changan,Deepal S07,2021,Lead-acid,86311.02,Denmark
Li Auto,MEGA,2020,Nickel-cobalt-aluminum,34659.23,India
Dacia,Bigster EV (upcoming),2025,Lithium-titanate,118279.7,New Zealand
Mini,Mini Aceman,2017,Lithium-sulfur,102257.92,Netherlands
Jeep,Wrangler 4xe (PHEV),2023,Aluminum-ion,60344.55,Turkey
Hyundai,Kona Electric,2025,Zinc-air,55143.07,Thailand
Opel,Grandland Electric,2021,Lead-acid,74958.17,Italy
Lucid Motors,Lucid Air,2017,Magnesium-ion,139556.57,Netherlands
Jeep,Grand Cherokee 4xe (PHEV),2022,Nickel-manganese-cobalt,120215.84,Israel
Lotus,Emeya,2022,Nickel-manganese-cobalt,111823.2,Hungary
Faraday Future,FF 91,2015,Nickel-manganese-cobalt,44747.34,Portugal
Li Auto,L8,2015,Flow batteries,73224.67,Hungary
Zeekr,Zeekr 007,2025,Calcium-ion,53409.23,South Africa
Lamborghini,Lanzador (upcoming EV),2017,Aluminum-ion,58908.19,Netherlands
Rimac,Nevera,2019,Lithium-iron phosphate,110472.15,Italy
Ferrari,Ferrari EV (2025+),2016,Flow batteries,124209.83,Vietnam
Peugeot,e-2008,2016,Zinc-air,99230.02,Poland
Faraday Future,FF 91,2023,Flow batteries,94595.15,Hungary
Cadillac,Celestiq,2017,Lithium-titanate,67066.97,Canada
Dacia,Bigster EV (upcoming),2015,Magnesium-ion,142131.95,South Korea
Lamborghini,Lanzador (upcoming EV),2020,Nickel-cobalt-aluminum,93341.33,Czech Republic
Citroen,Ami,2015,Calcium-ion,99258.89,New Zealand
Renault,Megane E-Tech,2025,Magnesium-ion,81253.33,Netherlands
Genesis,GV80 Electric,2024,Nickel-cobalt-aluminum,44256.31,Russia
Canoo,MPDV,2021,Lithium-sulfur,43995.32,Russia
Seat,Avenger,2024,Nickel-metal hydride,45028.37,China
Canoo,MPDV,2023,Nickel-manganese-cobalt,54895.65,Canada
Jaguar,I-PACE,2017,Zinc-air,132174.01,UK
Tesla,Model 3,2019,Lithium-ion,83390.43,Russia
Rivian,EDV (Electric Delivery Van),2016,Flow batteries,65965.11,Switzerland
GMC,Hummer EV SUV,2016,Lead-acid,39990.49,Vietnam
Seat,Avenger,2020,Zinc-air,48418.97,Vietnam
Lamborghini,Lanzador (upcoming EV),2016,Sodium-ion,47559.56,Austria
Porsche,Panamera EV,2024,Calcium-ion,133847.8,Portugal
Faraday Future,FF 91,2022,Zinc-air,47120.42,Portugal
Cadillac,Celestiq,2022,Nickel-metal hydride,63098.76,South Africa
Hyundai,Kona Electric,2016,Lithium-titanate,40150.21,UAE
Mahindra,XUV400,2021,Lithium-ion,114311.01,Brazil
Cadillac,Celestiq,2017,Flow batteries,74046.11,Turkey
Skoda,Enyaq,2023,Calcium-ion,65225.4,USA
Changan,Q05,2022,Lithium-ion,72467.13,Brazil
Lucid Motors,Lucid Air,2023,Lead-acid,30829.25,Spain
Kia,EV9,2025,Calcium-ion,30697.23,Denmark
Mercedes-Benz,EQB,2022,Flow batteries,89468.11,Italy
Kia,Soul EV,2017,Nickel-metal hydride,129580.29,Ireland
GMC,Hummer EV Pickup,2023,Nickel-metal hydride,149310.85,Vietnam
Porsche,Macan EV,2024,Flow batteries,34603.97,Sweden
Subaru,Solterra,2018,Sodium-ion,66514.8,Argentina
Tesla,Model S,2025,Lithium-titanate,102782.62,Norway
Lamborghini,Revuelto (PHEV),2020,Sodium-ion,63113.63,India
Jeep,Grand Cherokee 4xe (PHEV),2018,Lithium-titanate,104281.24,New Zealand
Lamborghini,Lanzador (upcoming EV),2023,Sodium-ion,38125.02,South Africa
Chevrolet,Equinox EV,2015,Magnesium-ion,93896.38,China
Rivian,R1T,2015,Nickel-metal hydride,124877.63,Turkey
Jaguar,I-PACE,2018,Lithium-ion,143045.52,Italy
Tesla,Roadster (upcoming),2020,Flow batteries,114655.41,Spain
Volvo,EX30,2017,Lithium-sulfur,112573.85,Spain
Toyota,bZ4X,2024,Flow batteries,57806.78,Vietnam
Ferrari,Roma PHEV,2017,Flow batteries,128099.9,Ireland
Renault,5 E-Tech,2015,Zinc-air,31626.25,Japan
VinFast,VF 6,2016,Lead-acid,87651.05,Malaysia
Toyota,Lexus UX 300e,2023,Solid-state,42307.93,Indonesia
Ford,E-Transit,2025,Lithium-sulfur,115782.14,Russia
GMC,Hummer EV SUV,2016,Sodium-ion,102540.77,Vietnam
Canoo,Pickup,2020,Aluminum-ion,141945.82,China
Renault,Kangoo E-Tech,2016,Solid-state,68766.41,Norway
VinFast,VF 8,2017,Magnesium-ion,95920.71,Saudi Arabia
Ferrari,Ferrari EV (2025+),2018,Lithium-titanate,132071.41,UAE
Opel,Corsa-e,2019,Nickel-manganese-cobalt,129338.62,Italy
Zeekr,Zeekr 009,2015,Lithium-titanate,101271.08,Germany
Ford,F-150 Lightning,2022,Lithium-titanate,116706.89,USA
Mercedes-Benz,EQC,2021,Calcium-ion,129542.19,Turkey
Volkswagen,ID.Buzz,2018,Nickel-cobalt-aluminum,119519.49,Ireland
Mercedes-Benz,EQC,2020,Flow batteries,73524.2,Mexico
Tesla,Model X,2018,Lead-acid,40204.72,Singapore
Subaru,Solterra,2020,Magnesium-ion,76876.96,Italy
Faraday Future,FF 91,2015,Zinc-air,48184.54,UK
Mercedes-Benz,EQE SUV,2022,Magnesium-ion,142816.94,India
Faraday Future,FF 91,2017,Magnesium-ion,84576.94,Czech Republic
Opel,Mokka-e,2019,Nickel-manganese-cobalt,46853.67,Singapore
BYD,Atto 3,2024,Sodium-ion,61539.29,Japan
Ford,Mustang Mach-E,2019,Nickel-cobalt-aluminum,134899.07,UK
Porsche,Taycan,2021,Magnesium-ion,71090.83,Russia
Great Wall Motors,ORA Good Cat,2025,Lithium-iron phosphate,127024.03,Vietnam
Honda,Honda e (discontinued),2017,Solid-state,134853.11,Indonesia
Pininfarina,Battista,2017,Lithium-iron phosphate,112659.66,Vietnam
Audi,A6 e-tron (upcoming),2024,Nickel-metal hydride,137580.13,Russia
Tesla,Model Y,2017,Flow batteries,119484.9,Indonesia
Ferrari,SF90 Stradale (PHEV),2020,Calcium-ion,134130.98,Russia
Citroen,?-Spacetourer,2016,Aluminum-ion,101387.02,Vietnam
Faraday Future,FF 91,2016,Flow batteries,119993.24,Saudi Arabia
Rivian,R1T,2022,Lead-acid,72073.64,Australia
MG,MG5 EV,2019,Aluminum-ion,30498.91,Japan
Pininfarina,Battista,2024,Nickel-cobalt-aluminum,107332.12,South Korea
Rimac,Nevera,2021,Lithium-iron phosphate,105772.93,Thailand
Hyundai,Kona Electric,2015,Nickel-cobalt-aluminum,114909.11,Singapore
Polestar,Polestar 3,2019,Lithium-iron phosphate,109110.92,UK
Cadillac,Lyriq,2016,Nickel-metal hydride,89309.41,Switzerland
Skoda,Enyaq Coupe,2021,Aluminum-ion,51576.77,Norway
Great Wall Motors,ORA Ballet Cat,2024,Lead-acid,53141.43,Saudi Arabia
Nissan,Ariya,2017,Lithium-iron phosphate,87788.98,Brazil
XPeng,G6,2019,Nickel-metal hydride,42347.35,Israel
Peugeot,e-3008,2020,Zinc-air,72349.86,China
Canoo,MPDV,2023,Sodium-ion,81526.42,Brazil
Rimac,Nevera,2020,Lithium-iron phosphate,97396.87,Czech Republic
Audi,A6 e-tron (upcoming),2025,Nickel-cobalt-aluminum,53778.05,Russia
Jeep,Recon (upcoming),2018,Zinc-air,64123.9,Thailand
Great Wall Motors,ORA Good Cat,2021,Lithium-titanate,96774.02,Russia
GMC,Hummer EV Pickup,2015,Lithium-iron phosphate,68743.08,Vietnam
Seat,Avenger,2019,Aluminum-ion,39005.06,Finland
Jaguar,I-PACE,2020,Calcium-ion,110188.23,South Africa
Hyundai,Ioniq 6,2019,Lithium-titanate,118232.19,China
Canoo,Pickup,2018,Nickel-manganese-cobalt,67419.05,Sweden
GMC,Hummer EV Pickup,2021,Lithium-iron phosphate,144179.35,France
Porsche,Panamera EV,2015,Nickel-manganese-cobalt,141231.33,Brazil
Toyota,Lexus RZ,2016,Lithium-ion,52733.96,Ireland
Polestar,Polestar 2,2018,Solid-state,93855.81,Austria
Canoo,MPDV,2019,Nickel-manganese-cobalt,64559.11,Czech Republic
Subaru,Solterra,2017,Sodium-ion,84625.96,New Zealand
Citroen,?-C4,2024,Sodium-ion,59701.25,Japan
Mercedes-Benz,EQE,2016,Solid-state,118177.8,Spain
Dacia,Bigster EV (upcoming),2023,Magnesium-ion,112294.1,Germany
Nissan,Leaf,2024,Lithium-titanate,40712.88,France
Honda,Honda e (discontinued),2020,Aluminum-ion,63149.66,Japan
VinFast,VF 8,2019,Solid-state,48027.33,Finland
Chevrolet,Bolt EUV,2019,Calcium-ion,81638.74,USA
Hyundai,Ioniq 6,2017,Lithium-titanate,33856.4,Belgium
Cadillac,Celestiq,2017,Zinc-air,46701.16,Denmark
Acura,ZDX (with GM Ultium),2023,Nickel-metal hydride,93188.57,Hungary
Li Auto,MEGA,2015,Aluminum-ion,46870.27,Belgium
Citroen,?-Spacetourer,2017,Nickel-cobalt-aluminum,40159.09,France
Jaguar,I-PACE,2018,Lead-acid,137406.28,Sweden
Audi,e-tron,2017,Zinc-air,42432.84,Turkey
Maserati,GranTurismo Folgore,2024,Flow batteries,106343.66,Sweden
Great Wall Motors,ORA Lightning Cat,2019,Lithium-sulfur,63021.76,France
Tesla,Cybertruck,2019,Lithium-ion,138847.01,Australia
Rivian,R1S,2023,Nickel-cobalt-aluminum,116305.09,Australia
Genesis,G80 Electric,2021,Nickel-manganese-cobalt,68889.19,Brazil
Kia,Soul EV,2022,Aluminum-ion,127026.66,Belgium
BMW,iX1,2019,Solid-state,74918.65,Germany
Lucid Motors,Lucid Air,2019,Nickel-manganese-cobalt,49450.75,South Africa
Chevrolet,Bolt EUV,2015,Sodium-ion,111883.34,South Africa
Lamborghini,Revuelto (PHEV),2016,Nickel-manganese-cobalt,45263.09,Poland
Nissan,Leaf,2019,Aluminum-ion,134576.8,China
GMC,Hummer EV Pickup,2023,Lithium-titanate,148192.07,Germany
Lamborghini,Lanzador (upcoming EV),2025,Aluminum-ion,143759.71,Japan
Great Wall Motors,ORA Good Cat,2019,Lithium-titanate,108040.44,New Zealand
Cadillac,Celestiq,2025,Flow batteries,121881.78,Italy
Lucid Motors,Lucid Gravity,2021,Aluminum-ion,57255.11,Saudi Arabia
Volkswagen,ID.6,2017,Lithium-sulfur,45565.95,New Zealand
Dacia,Bigster EV (upcoming),2018,Nickel-manganese-cobalt,65122.01,Belgium
Li Auto,MEGA,2019,Solid-state,96355.88,Argentina
Nissan,Ariya,2015,Lithium-sulfur,40139.2,Finland
NIO,ET9,2025,Nickel-cobalt-aluminum,121559.56,Ireland
Pininfarina,Battista,2021,Magnesium-ion,96395.3,Czech Republic
Mercedes-Benz,EQS SUV,2022,Lithium-titanate,63684.02,Portugal
Chevrolet,Equinox EV,2019,Sodium-ion,98212.93,Spain
Great Wall Motors,ORA Ballet Cat,2023,Lithium-iron phosphate,103239.42,China
Acura,ZDX (with GM Ultium),2017,Calcium-ion,34620.21,Turkey
Honda,Honda Prologue,2015,Flow batteries,35367.97,Brazil
Rimac,Nevera,2025,Nickel-cobalt-aluminum,69184.87,Argentina
BYD,Han EV,2019,Aluminum-ion,55377.56,Turkey
Jeep,Wrangler 4xe (PHEV),2025,Lithium-titanate,145035.02,Singapore
Faraday Future,FF 91,2024,Nickel-manganese-cobalt,53402.83,Czech Republic
Rimac,Nevera,2018,Nickel-manganese-cobalt,72238.15,China
Canoo,Lifestyle Vehicle,2023,Lithium-iron phosphate,125502.71,Hungary
Acura,ZDX (with GM Ultium),2017,Aluminum-ion,121861.15,New Zealand
Volkswagen,ID.7,2023,Aluminum-ion,113631.44,Czech Republic
Kia,Soul EV,2016,Lithium-titanate,105699.84,Vietnam
Hyundai,Ioniq 5,2015,Zinc-air,82630.44,Israel
Lotus,Evija,2023,Calcium-ion,120876.03,Japan
Ferrari,Ferrari EV (2025+),2020,Solid-state,88396.29,Netherlands
Kia,Niro EV,2023,Calcium-ion,34769.4,Saudi Arabia
Ferrari,Roma PHEV,2022,Lead-acid,115950.11,Canada
Renault,Megane E-Tech,2020,Magnesium-ion,69253.89,Mexico
Zeekr,Zeekr 001,2023,Sodium-ion,105274.21,Italy
Renault,Kangoo E-Tech,2019,Nickel-metal hydride,132858.82,Switzerland
Li Auto,L9,2024,Nickel-cobalt-aluminum,108832.92,Poland
Fisker,Pear (upcoming),2019,Solid-state,83660.75,Vietnam
XPeng,G6,2022,Calcium-ion,33475.51,Turkey
XPeng,P5,2021,Nickel-cobalt-aluminum,56273.78,Japan
Jaguar,I-PACE,2017,Zinc-air,40830.33,Mexico
Maserati,Grecale Folgore,2017,Calcium-ion,49368.5,Mexico
Kia,EV9,2022,Lithium-ion,122689.4,Japan
Toyota,bZ4X,2016,Solid-state,119118.24,Ireland
VinFast,VF 8,2021,Lead-acid,41961.51,Singapore
Great Wall Motors,ORA Lightning Cat,2023,Lead-acid,144174.89,Saudi Arabia
BYD,Dolphin,2024,Solid-state,147098.09,UAE
Great Wall Motors,ORA Ballet Cat,2024,Magnesium-ion,67374.59,Sweden
Rivian,EDV (Electric Delivery Van),2022,Lead-acid,115064.18,UAE
Volkswagen,ID.2all,2015,Nickel-metal hydride,134369.9,Japan
Lamborghini,Lanzador (upcoming EV),2021,Lithium-ion,135627.14,South Africa
Rivian,EDV (Electric Delivery Van),2020,Lead-acid,69621.26,Italy
Ford,Explorer EV (Europe),2016,Lithium-ion,94527.78,France
Fisker,Ocean,2018,Lithium-sulfur,66690.04,Thailand
Kia,Niro EV,2019,Nickel-metal hydride,100478.05,India
Mercedes-Benz,EQC,2018,Lithium-iron phosphate,87055.68,Hungary
Great Wall Motors,ORA Lightning Cat,2019,Lead-acid,76263.58,Brazil
Mercedes-Benz,EQA,2017,Calcium-ion,60064.68,UAE
Opel,Grandland Electric,2020,Lithium-titanate,51480.67,USA
Kia,EV6,2019,Lead-acid,62994.17,Thailand
Canoo,Lifestyle Vehicle,2022,Zinc-air,134992.42,Saudi Arabia
Peugeot,e-2008,2017,Solid-state,106497.38,Hungary
Skoda,Enyaq Coupe,2017,Aluminum-ion,142865.42,Indonesia
Toyota,bZ4X,2017,Nickel-manganese-cobalt,79110.18,USA
Changan,SL03,2016,Aluminum-ion,100937.82,Netherlands
Skoda,Elroq (upcoming),2018,Lithium-titanate,114709.68,Portugal
Porsche,Panamera EV,2019,Lithium-titanate,73633.58,South Africa
Maserati,Grecale Folgore,2021,Sodium-ion,113958.46,UAE
Honda,e:Ny1,2016,Lead-acid,100418.49,Singapore
Mercedes-Benz,EQS SUV,2022,Sodium-ion,72960.54,Australia
Zeekr,Zeekr 007,2022,Calcium-ion,87906.91,Poland
Zeekr,Zeekr 009,2024,Nickel-cobalt-aluminum,136391.43,South Africa
Subaru,Solterra,2020,Nickel-manganese-cobalt,54048.78,Poland
Skoda,Elroq (upcoming),2020,Lithium-ion,112414.37,Switzerland
Volkswagen,ID.5,2017,Nickel-cobalt-aluminum,117644.65,Ireland
Cadillac,Lyriq,2018,Sodium-ion,120202.14,Austria
NIO,ET9,2021,Nickel-metal hydride,145021.53,Norway
Renault,Megane E-Tech,2025,Calcium-ion,45448.74,India
Subaru,Solterra,2019,Lithium-titanate,123720.42,Mexico
Skoda,Enyaq,2017,Lithium-ion,127540.21,Australia
BMW,iX1,2025,Sodium-ion,32823.64,Norway
Jaguar,I-PACE,2015,Lead-acid,41348.71,Sweden
Canoo,MPDV,2024,Nickel-manganese-cobalt,103122.42,France
XPeng,P7,2017,Lithium-titanate,82012.23,Denmark
Ferrari,Roma PHEV,2018,Magnesium-ion,110572.76,Thailand
VinFast,VF 9,2025,Nickel-metal hydride,56978.97,Hungary
Acura,ZDX (with GM Ultium),2023,Nickel-cobalt-aluminum,68357.14,Malaysia
XPeng,P7,2025,Calcium-ion,71435.9,South Africa
GMC,Hummer EV Pickup,2024,Sodium-ion,64066.52,Russia
XPeng,G6,2018,Solid-state,148125.93,UAE
Kia,EV6,2023,Lead-acid,85669.67,Malaysia
Genesis,GV70 Electric,2025,Aluminum-ion,79235.26,Germany
Renault,Kangoo E-Tech,2015,Sodium-ion,144221.53,Ireland
BYD,Seagull,2018,Nickel-metal hydride,65157.83,Switzerland
MG,MG ZS EV,2024,Calcium-ion,116645.55,USA
VinFast,VF 9,2019,Aluminum-ion,129330.46,Czech Republic
Genesis,G80 Electric,2021,Magnesium-ion,99577.44,Canada
Honda,e:Ny1,2020,Flow batteries,120837.67,Czech Republic
Chevrolet,Bolt EUV,2017,Lead-acid,115656.38,Netherlands
Faraday Future,FF 91,2017,Zinc-air,33360.56,Israel
Great Wall Motors,ORA Ballet Cat,2017,Sodium-ion,75357.45,Netherlands
Volvo,EX30,2018,Lithium-iron phosphate,72780.18,Singapore
Lucid Motors,Lucid Gravity,2025,Lithium-ion,62576.83,Saudi Arabia
Porsche,Macan EV,2018,Lithium-titanate,61891.6,UK
Subaru,Solterra,2018,Lithium-iron phosphate,94432.04,South Korea
Lucid Motors,Lucid Air,2023,Zinc-air,99805.63,Malaysia
Citroen,?-Spacetourer,2024,Lithium-sulfur,91704.03,Poland
Acura,ZDX (with GM Ultium),2016,Magnesium-ion,146922.53,Russia
